Error norm,Size,Duration
0.49617013763406942,994,2.897805
0.12496044641266477,,
0.10845751928234142,,
0.11165612781526264,,
0.12417279485113258,,
0.14374488946247974,,
0.1704738743219873,,
0.20552508135105249,,
0.25080789731068637,,
0.30896707057475276,,
0.38350871629074973,,
0.47901559851702868,,
0.60144850208666378,,
0.75854834508071856,,
0.9603650487923252,,
1.2199499055806247,,
1.554260687434994,,
1.9853445159719894,,
2.5418839530621136,,
3.2612184777641424,,
4.1919885208565972,,
5.3975951710265404,,
6.9607290032202771,,
8.9893007522387585,,
11.624210739750021,,
15.049530927598095,,
19.505853573893738,,
25.30779735504462,,
32.866973460949254,,
42.722124255187218,,
55.578686827862541,,
72.360744293587885,,
94.279263232293957,,
122.92174773999864,,
160.37006344274891,,
209.35532289214581,,
273.46154105149679,,
357.39348252207333,,
467.32901631537584,,
611.382746198365,,
800.21619230059218,,
1047.8410193130405,,
1372.6766049702089,,
1798.9427639786741,,
2358.4941982963346,,
3093.2372303902171,,
4058.3142277519778,,
5326.3003264871286,,
6992.735209225425,,
9183.4158656459731,,
12064.012493550998,,
15852.74959773065,,
20837.131939606676,,
27396.008823136501,,
36028.684780291551,,
47393.33244376738,,
62357.687104834324,,
82065.958795881685,,
108027.16161783981,,
142231.73051816979,,
187305.50384208438,,
246713.06904105042,,
325026.32819360989,,
428279.24277947249,,
564436.46473665419,,
744012.48418795515,,
980889.72594732908,,
1293399.6367943306,,
1705751.4540570676,,
2249920.6619159132,,
2968145.2807606822,,
3916225.9504946875,,
5167889.038504798,,
6820555.7283117734,,
9002970.847215334,,
11885291.83794928,,
15692432.379864095,,
20721712.093066704,,
27366203.873820145,,
36145620.675474785,,
47747179.67958723,,
63079671.100808084,,
83345003.996874034,,
110132885.41771902,,
145546121.9895359,,
192366460.27601954,,
254274097.01075,,
336138248.30103368,,
444401807.0455215,,
587590589.14304245,,
776987566.682248,,
1027525598.8253627,,
1358969543.7220776,,
1797481652.7777565,,
2377694648.0378957,,
3145457298.0654621,,
4161470863.5277615,,
5506105757.2822275,,
7285781824.3195238,,
9641420310.4202766,,
12759640819.357033,,
16887595568.380352,,
22352623557.643188,,
29588292097.993351,,
39168903292.194023,,
51855219378.456581,,
68655057482.403473,,
90903593109.536499,,
120369787900.71991,,
159397447102.36542,,
211092183429.70392,,
279569238769.23389,,
370281988260.92609,,
490457413742.44684,,
649673404016.14429,,
860624105981.70483,,
1140134626148.4426,,
1510506377336.9609,,
2001300887027.7065,,
2651705063235.0576,,
3513667578883.4199,,
4656057938530.3057,,
6170181910397.7959,,
8177095947951.7686,,
10837307754326.752,,
14363641891495.023,,
19038303739746.203,,
25235512655562.672,,
33451523041240.422,,
44344446304223.195,,
58787075227869.586,,
77936958644636.844,,
103329362838996.67,,
137000598755699.86,,
181651639435619.47,,
240865197372751.5,,
319393738477959.94,,
423541625561508.19,,
561672171016912.5,,
744880448087520.62,,
987886075679752.12,,
1310217932398431,,
1737786304116235.5,,
2304969228164738.5,,
3057381291633443,,
4055548224339779,,
5379783750700479,,
7136662240020759,,
9467609570171254,,
12560305716634754,,
16663819735429424,,
22108699399471240,,
29333638173724928,,
38920873876758392,,
51643179303242976,,
68526242414401512,,
90931478325353856,,
1.2066596800692805e+17,,
1.6012841321404307e+17,,
2.1250291140491818e+17,,
2.8201622440166522e+17,,
3.7427935380886944e+17,,
4.96741061197184e+17,,
6.592900348975968e+17,,
8.7505444261519168e+17,,
1.1614635957977372e+18,,
1.5416576839737526e+18,,
2.0463597368451062e+18,,
2.7163614258216878e+18,,
3.6058240629278413e+18,,
4.7866622292260649e+18,,
6.3543652280535603e+18,,
8.435728132112937e+18,,
1.1199119038598394e+19,,
1.4868114831530615e+19,,
1.9739610972523098e+19,,
2.6207873782946828e+19,,
3.4796485812570022e+19,,
4.6200775366060138e+19,,
6.1344172098715722e+19,,
8.1453060910252687e+19,,
1.0815620798751385e+20,,
1.4361682778043748e+20,,
1.9070801004852458e+20,,
2.5324574728049908e+20,,
3.3629848096553737e+20,,
4.4659830066365347e+20,,
5.9308718789248732e+20,,
7.8764266896215612e+20,,
1.0460418192679177e+21,,
1.3892419317957798e+21,,
1.8450819001935386e+21,,
2.4505425653170024e+21,,
3.2547497158441624e+21,,
4.3229638155939642e+21,,
5.7418807659384097e+21,,
7.6266746307210274e+21,,
1.0130354930940985e+22,,
1.3456199389438986e+22,,
1.7874273198376296e+22,,
2.3743378363579913e+22,,
3.1540218521205109e+22,,
4.1898151803014466e+22,,
5.565868466615272e+22,,
7.3939896657825308e+22,,
9.8227364327980913e+22,,
1.3049498420965943e+23,,
1.7336552918783617e+23,,
2.3032400802532228e+23,,
3.060011979540323e+23,,
4.0655043550850232e+23,,
5.4014834698150593e+23,,
7.17660296182149e+23,,
9.5352474659617212e+23,,
1.2669285715990544e+24,,
1.6833690543048493e+24,,
2.2367298310775508e+24,,
2.9720399194224211e+24,,
3.9491406479360644e+24,,
5.2475593143009352e+24,,
6.9729867736894494e+24,,
9.26588692947855e+24,,
1.2312939929349663e+25,,
1.6362251945422306e+25,,
2.1743571591927214e+25,,
2.889516137446749e+25,,
3.8399515395746784e+25,,
5.1030836167754105e+25,,
6.7818142701183522e+25,,
9.0129157368596458e+25,,
1.1978181448162287e+26,,
1.591924875055095e+26,,
2.1157302839317949e+26,,
2.8119269634253589e+26,,
3.7372634969321901e+26,,
