Error norm,Size,Duration
0.19262241022836904,1500,0.127636
0.016924847408617504,,
0.0043355437327504565,,
0.0013306473354672878,,
0.0004433384238922409,,
0.00015398998967439635,,
5.4814737839496336e-05,,
1.9835594391504649e-05,,
7.2649267895467473e-06,,
2.6858344877588768e-06,,
1.0004424999860703e-06,,
3.7496866755013176e-07,,
1.4127179426158031e-07,,
5.3461209139087695e-08,,
2.0308592388394655e-08,,
7.740427035900698e-09,,
2.9588246458082285e-09,,
1.1339604026590893e-09,,
4.3559158887436832e-10,,
