Error norm,Size,Duration
0.36875541712961107,7000,4.2248559999999999
0.017691316240413667,,
0.004457763451988745,,
0.0013621702640840582,,
0.00045330072784248042,,
0.00015743006828239939,,
5.6047821937792426e-05,,
2.0285796576436811e-05,,
7.4311506607521308e-06,,
2.747704110966104e-06,,
1.0236175423872744e-06,,
3.836952912003469e-07,,
1.4457252060769072e-07,,
5.4714475787489177e-08,,
2.0786049552015138e-08,,
7.9228616383171035e-09,,
3.0287149851157198e-09,,
1.1607978078526986e-09,,
4.4591864610101261e-10,,
