Error norm,Size,Duration
0.23039196497305608,2500,0.37881199999999998
0.015490483777927066,,
0.0039870147134177863,,
0.0012266711324654053,,
0.00040894742828890288,,
0.00014204793559391383,,
5.0557554676240178e-05,,
1.8292503453571621e-05,,
6.6989285818904821e-06,,
2.4763289933120291e-06,,
9.2232483291107766e-07,,
3.4566513349071692e-07,,
1.3022360923962416e-07,,
4.9277712810786356e-08,,
1.8718547719854406e-08,,
7.1341178885500699e-09,,
2.7269656190827134e-09,,
1.0450694052595998e-09,,
4.0143476723867479e-10,,
