Size,Duration
100,0.00047699999999999999
500,0.010511
1000,0.03526
1500,0.099532999999999996
2000,0.15921399999999999
2500,0.27326299999999998
3000,0.44824900000000001
3500,0.59817900000000002
4000,0.66567100000000001
5000,1.0812109999999999
6000,1.5381689999999999
7000,3.2115109999999998
8000,4.3379640000000004
9000,5.4294289999999998
10000,7.096063
