Error norm,Size,Duration
0.3916928267951349,8000,5.7567570000000003
0.017544762913399743,,
0.0044468512892773251,,
0.0013626702366885111,,
0.00045381925425467114,,
0.00015762470014953029,,
5.6112043890282983e-05,,
2.0306592848575646e-05,,
7.4379448793101964e-06,,
2.7499582972805125e-06,,
1.0243772042448844e-06,,
3.8395491811168457e-07,,
1.4466234170234667e-07,,
5.474587928087697e-08,,
2.0797129414336955e-08,,
7.9268020327127633e-09,,
3.0301260616147318e-09,,
1.161306391389752e-09,,
4.4610282210455333e-10,,
