Error norm,Size,Duration
0.41216928985493329,9000,7.2015729999999998
0.016588999648707133,,
0.0042229468296469666,,
0.0012973442315033631,,
0.00043235088517583651,,
0.00015017584403668034,,
5.3454664248334939e-05,,
1.934242425675496e-05,,
7.0839711181417712e-06,,
2.6188335265001874e-06,,
9.7545390878690219e-07,,
3.6559300846665902e-07,,
1.3773631619477567e-07,,
5.2122269495833809e-08,,
1.9799629051314318e-08,,
7.5463297193592766e-09,,
2.8845925935439197e-09,,
1.1054983764956681e-09,,
4.2465411797130514e-10,,
