Error norm,Size,Duration
0.34276692684855098,6000,2.1288369999999999
0.017016838817314913,,
0.0042551272420253573,,
0.0012958691405836264,,
0.00043082082627952982,,
0.00014960150157289405,,
5.3265148343276918e-05,,
1.9281055341828078e-05,,
7.0639216878399787e-06,,
2.6121815361313622e-06,,
9.7321218820104709e-07,,
3.648268643473523e-07,,
1.3747125985754692e-07,,
5.2029599723441058e-08,,
1.9766933020450654e-08,,
7.5347016266537761e-09,,
2.8804282127069931e-09,,
1.1039978656288322e-09,,
4.241103200280688e-10,,
