Error norm,Size,Duration
0.14240392764122131,500,0.013335
0.017572764555037219,,
0.0044767609530943853,,
0.0013703893533808427,,
0.00045625865006644449,,
0.00015846703576540442,,
5.6413975097137905e-05,,
2.0416828653602166e-05,,
7.4786462091107869e-06,,
2.7651076081553192e-06,,
1.0300518159346813e-06,,
3.8609170924107917e-07,,
1.4547055387587081e-07,,
5.5052752987028757e-08,,
2.0914039392115573e-08,,
7.9714729092187287e-09,,
3.0472394881213069e-09,,
1.1678776087845485e-09,,
4.4863164064647628e-10,,
